article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis,human_label,human_notes
20240701060000-800,LT.NS,L&T bags offshore order from ONGC for its Energy Hydrocarbon vertical,https://www.financialexpress.com/business/industry-lt-bags-offshore-order-from-ongc-for-its-energy-hydrocarbon-vertical-3540087/,https://www.financialexpress.com/business/industry-lt-bags-offshore-order-from-ongc-for-its-energy-hydrocarbon-vertical-3540087/,financialexpress.com,2024-07-01T11:30:00+05:30,2024-07-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent Larsen & Toubro corporate announcement, mega order win, Q1 earnings, leadership, defence/nuclear contract, or stock analysis."
20240701080000-1406,LT.NS,L&T Technology Services Ltd gains for fifth session,https://www.business-standard.com/markets/capital-market-news/l-t-technology-services-ltd-gains-for-fifth-session-124070100397_1.html,https://www.business-standard.com/markets/capital-market-news/l-t-technology-services-ltd-gains-for-fifth-session-124070100397_1.html,business-standard.com,2024-07-01T13:30:00+05:30,2024-07-01,gdelt_gkg_observation,INDIRECTLY_RELEVANT,"L&T Technology Services Limited (subsidiary) financial earnings, AI partnerships, and awards."
20240701080000-1016,LT.NS,L&T bags significant order from ONGC,https://www.business-standard.com/markets/capital-market-news/l-t-bags-significant-order-from-ongc-124070100316_1.html,https://www.business-standard.com/markets/capital-market-news/l-t-bags-significant-order-from-ongc-124070100316_1.html,business-standard.com,2024-07-01T13:30:00+05:30,2024-07-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent Larsen & Toubro corporate announcement, mega order win, Q1 earnings, leadership, defence/nuclear contract, or stock analysis."
20240701081500-1019,LT.NS,L&T bags 'significant' offshore pipeline order from ONGC,https://www.moneycontrol.com/news/business/companies/lt-bags-significant-offshore-pipeline-order-from-ongc-12759460.html,https://www.moneycontrol.com/news/business/companies/lt-bags-significant-offshore-pipeline-order-from-ongc-12759460.html,moneycontrol.com,2024-07-01T13:45:00+05:30,2024-07-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent Larsen & Toubro corporate announcement, mega order win, Q1 earnings, leadership, defence/nuclear contract, or stock analysis."
20240701083000-595,LT.NS,L&T Secures Significant Offshore Order from ONGC for Pipeline Replacement Project,https://www.rtn.asia/s-k/55290/lt-secures-significant-offshore-order-from-ongc-for-pipeline-replacement-project,https://www.rtn.asia/s-k/55290/lt-secures-significant-offshore-order-from-ongc-for-pipeline-replacement-project,rtn.asia,2024-07-01T14:00:00+05:30,2024-07-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent Larsen & Toubro corporate announcement, mega order win, Q1 earnings, leadership, defence/nuclear contract, or stock analysis."
20240701083000-1105,LT.NS,"Larsen & Toubro: L&T bags project from ONGC, Energy News, ET EnergyWorld",https://energy.economictimes.indiatimes.com/news/renewable/lt-bags-project-from-ongc/111398784,https://energy.economictimes.indiatimes.com/news/renewable/lt-bags-project-from-ongc/111398784,indiatimes.com,2024-07-01T14:00:00+05:30,2024-07-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent Larsen & Toubro corporate announcement, mega order win, Q1 earnings, leadership, defence/nuclear contract, or stock analysis."
20240701090000-649,LT.NS,"L&T secures up to ₹2,500 order from ONGC - The Hindu BusinessLine",https://www.thehindubusinessline.com/companies/lt-secures-up-to-2500-order-from-ongc/article68354532.ece,https://www.thehindubusinessline.com/companies/lt-secures-up-to-2500-order-from-ongc/article68354532.ece,thehindubusinessline.com,2024-07-01T14:30:00+05:30,2024-07-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent Larsen & Toubro corporate announcement, mega order win, Q1 earnings, leadership, defence/nuclear contract, or stock analysis."
20240701094500-506,LT.NS,"Actis-sponsored Nxt-Infra InvIT raises Rs 1,520 crore; Tata Investment Corp, L&T among investors",https://www.moneycontrol.com/news/business/actis-sponsored-nxt-infra-invit-raises-rs-1520-crore-tata-investment-corp-lt-among-investors-12759563.html,https://www.moneycontrol.com/news/business/actis-sponsored-nxt-infra-invit-raises-rs-1520-crore-tata-investment-corp-lt-among-investors-12759563.html,moneycontrol.com,2024-07-01T15:15:00+05:30,2024-07-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent Larsen & Toubro corporate announcement, mega order win, Q1 earnings, leadership, defence/nuclear contract, or stock analysis."
20240701101500-1137,LT.NS,L&T Energy Hydrocarbon wins offshore order from ONGC,https://www.business-standard.com/markets/capital-market-news/l-t-energy-hydrocarbon-wins-offshore-order-from-ongc-124070100553_1.html,https://www.business-standard.com/markets/capital-market-news/l-t-energy-hydrocarbon-wins-offshore-order-from-ongc-124070100553_1.html,business-standard.com,2024-07-01T15:45:00+05:30,2024-07-02,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent Larsen & Toubro corporate announcement, mega order win, Q1 earnings, leadership, defence/nuclear contract, or stock analysis."
20240701113000-722,LT.NS,L&T Nets Pipeline Order from ONGC Worth Up to,https://aogdigital.com/news/514865-lt-nets-pipeline-order-from-ongc-worth-up-to-300m,https://aogdigital.com/news/514865-lt-nets-pipeline-order-from-ongc-worth-up-to-300m,aogdigital.com,2024-07-01T17:00:00+05:30,2024-07-02,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent Larsen & Toubro corporate announcement, mega order win, Q1 earnings, leadership, defence/nuclear contract, or stock analysis."
